Tensile stress;Tensile strain (Extension)
(MPa);(mm/mm)
0.00369;0.00006
0.00508;0.00017
0.00437;0.00031
0.0045;0.00045
0.00916;0.00059
0.00623;0.00073
0.0086;0.00088
0.00948;0.00103
0.00971;0.00118
0.01193;0.00134
0.01168;0.00149
0.01286;0.00165
0.01455;0.00182
0.01319;0.00197
0.01676;0.00212
0.01612;0.00229
0.01768;0.00245
0.01819;0.0026
0.01761;0.00276
0.0206;0.00291
0.0201;0.00307
0.02236;0.00323
0.02278;0.00339
0.02308;0.00355
0.02546;0.0037
0.02463;0.00386
0.0259;0.00402
0.02803;0.00417
0.0277;0.00433
0.0297;0.00448
0.02841;0.00464
0.03015;0.00479
0.0323;0.00494
0.03212;0.00511
0.03389;0.00526
0.03362;0.00542
0.03638;0.00557
0.03526;0.00572
0.03573;0.00587
0.03801;0.00603
0.03849;0.00618
0.04055;0.00634
0.03952;0.00649
0.04187;0.00665
0.04314;0.00679
0.04151;0.00694
0.04448;0.0071
0.0441;0.00725
0.04387;0.00741
0.04675;0.00755
0.0451;0.00771
0.04906;0.00786
0.04802;0.00801
0.04975;0.00816
0.05119;0.00832
0.04968;0.00847
0.05223;0.00861
0.05273;0.00877
0.05347;0.00892
0.05518;0.00907
0.05399;0.00922
0.05621;0.00937
0.05597;0.00952
0.05705;0.00968
0.05906;0.00982
0.05645;0.00997
0.06117;0.01012
0.06019;0.01027
0.0619;0.01042
0.06391;0.01057
0.06184;0.01072
0.06495;0.01086
0.06484;0.01101
0.06624;0.01116
0.06683;0.01131
0.06704;0.01147
0.0692;0.01161
0.06809;0.01176
0.06971;0.01191
0.07181;0.01206
0.07139;0.01222
0.0737;0.01236
0.07329;0.01252
0.07276;0.01267
0.07648;0.01282
0.07366;0.01297
0.07766;0.01313
0.07737;0.01328
0.07783;0.01344
0.08043;0.01359
0.07999;0.01374
0.08159;0.01389
0.0815;0.01405
0.08212;0.01419
0.08497;0.01435
0.08315;0.0145
0.08595;0.01466
0.08555;0.01481
0.08644;0.01496
0.08817;0.01511
0.08771;0.01527
0.09076;0.01541
0.08948;0.01556
0.0915;0.01571
0.09325;0.01586
0.09083;0.01601
0.09426;0.01616
0.09419;0.01631
0.09434;0.01646
0.09693;0.01661
0.09495;0.01676
0.09896;0.01691
0.09861;0.01706
0.09903;0.01721
0.10147;0.01736
0.10001;0.01752
0.10255;0.01767
0.1026;0.01782
0.1031;0.01797
0.10506;0.01813
0.10348;0.01828
0.10629;0.01843
0.10756;0.01859
0.10578;0.01874
0.10861;0.01889
0.10741;0.01905
0.11007;0.0192
0.11089;0.01935
0.11084;0.01951
0.11308;0.01966
0.11348;0.01981
0.11412;0.01996
0.11494;0.02012
0.11508;0.02026
0.11835;0.02042
0.11688;0.02057
0.11932;0.02073
0.11975;0.02088
0.12052;0.02103
0.1211;0.02118
0.12072;0.02133
0.12282;0.02149
0.12354;0.02164
0.1229;0.02179
0.12564;0.02194
0.12548;0.0221
0.12674;0.02225
0.12843;0.0224
0.12789;0.02256
0.12992;0.0227
0.12916;0.02286
0.13166;0.02301
0.13215;0.02317
0.13211;0.02331
0.13408;0.02347
0.13328;0.02362
0.13499;0.02377
0.13587;0.02393
0.13663;0.02407
0.13764;0.02422
0.1371;0.02437
0.14;0.02452
0.14009;0.02467
0.13963;0.02482
0.14213;0.02497
0.14219;0.02512
0.14443;0.02527
0.14431;0.02543
0.14408;0.02557
0.14669;0.02572
0.1447;0.02587
0.14714;0.02602
0.14831;0.02617
0.1489;0.02632
0.1512;0.02647
0.15008;0.02662
0.1509;0.02677
0.15346;0.02693
0.1521;0.02707
0.15423;0.02723
0.15582;0.02738
0.15645;0.02753
0.15655;0.02768
0.15521;0.02783
0.15931;0.02799
0.15769;0.02813
0.15893;0.02829
0.1612;0.02844
0.16042;0.02859
0.16212;0.02875
0.16281;0.02889
0.16307;0.02905
0.16508;0.0292
0.1643;0.02935
0.1672;0.02951
0.16567;0.02966
0.16629;0.02982
0.16961;0.02997
0.1685;0.03012
0.17077;0.03027
0.17145;0.03043
0.1722;0.03057
0.17436;0.03073
0.17306;0.03088
0.17514;0.03103
0.17425;0.03118
0.17563;0.03134
0.17823;0.0315
0.1766;0.03165
0.17867;0.0318
0.17881;0.03194
0.18005;0.03211
0.18066;0.03226
0.18005;0.03241
0.18379;0.03257
0.18282;0.03271
0.18411;0.03287
0.18553;0.03302
0.18481;0.03317
0.18701;0.03332
0.18641;0.03347
0.18806;0.03362
0.19052;0.03377
0.18862;0.03392
0.19147;0.03407
0.1916;0.03421
0.19182;0.03437
0.19503;0.03453
0.19258;0.03467
0.19604;0.03482
0.19539;0.03497
0.19565;0.03512
0.19766;0.03528
0.19726;0.03543
0.1996;0.03558
0.19955;0.03572
0.1994;0.03588
0.20295;0.03603
0.20208;0.03618
0.20393;0.03633
0.20316;0.03648
0.20538;0.03663
0.20646;0.03678
0.20521;0.03693
0.20762;0.03708
0.2066;0.03723
0.20796;0.03738
0.21096;0.03753
0.20937;0.03768
0.21114;0.03784
0.2118;0.03798
0.21198;0.03813
0.21468;0.03828
0.2143;0.03843
0.21521;0.03859
0.21681;0.03874
0.2158;0.0389
0.21809;0.03904
0.21772;0.03919
0.219;0.03934
0.22006;0.03949
0.21921;0.03964
0.22212;0.0398
0.22251;0.03995
0.22309;0.04011
0.22377;0.04025
0.22294;0.04041
0.22636;0.04056
0.22687;0.04071
0.22673;0.04087
0.22887;0.04102
0.22827;0.04117
0.22956;0.04132
0.22937;0.04147
0.23054;0.04162
0.23285;0.04177
0.23281;0.04193
0.23455;0.04208
0.23435;0.04223
0.23512;0.04238
0.23703;0.04254
0.23638;0.04269
0.23834;0.04284
0.23758;0.043
0.23922;0.04315
0.24162;0.0433
0.24067;0.04345
0.24199;0.0436
0.24349;0.04376
0.24273;0.04392
0.2458;0.04407
0.24485;0.04422
0.24608;0.04437
0.2459;0.04453
0.2464;0.04468
0.24989;0.04483
0.24914;0.04499
0.25028;0.04514
0.25103;0.0453
0.25122;0.04545
0.25328;0.0456
0.25321;0.04575
0.25357;0.0459
0.25517;0.04606
0.25488;0.0462
0.25737;0.04636
0.25697;0.0465
0.25828;0.04665
0.25975;0.04681
0.25983;0.04696
0.26174;0.04711
0.26076;0.04726
0.26232;0.04741
0.26332;0.04756
0.26343;0.04771
0.26444;0.04786
0.26432;0.04801
0.26647;0.04815
0.2669;0.04831
0.26732;0.04846
0.26946;0.04861
0.26864;0.04877
0.27064;0.04892
0.27148;0.04907
0.27069;0.04921
0.27335;0.04936
0.27183;0.04952
0.27404;0.04967
0.27631;0.04982
0.27541;0.04997
0.27864;0.05012
0.27679;0.05028
0.2786;0.05042
0.27975;0.05058
0.27921;0.05073
0.28248;0.05088
0.28092;0.05103
0.28347;0.05119
0.28362;0.05134
0.28368;0.05149
0.28649;0.05164
0.28636;0.05179
0.28518;0.05194
0.28731;0.05209
0.28632;0.05224
0.28904;0.05239
0.28941;0.05254
0.28974;0.05269
0.29213;0.05284
0.2918;0.05299
0.29467;0.05314
0.29333;0.05329
0.29381;0.05344
0.29699;0.0536
0.29503;0.05375
0.29816;0.05389
0.29761;0.05405
0.29846;0.0542
0.29993;0.05436
0.30029;0.05451
0.30152;0.05466
0.30085;0.05481
0.30239;0.05496
0.30418;0.05512
0.30345;0.05526
0.30649;0.05541
0.30593;0.05556
0.30617;0.05571
0.30798;0.05587
0.30725;0.05601
0.30945;0.05617
0.30933;0.05633
0.31035;0.05648
0.31198;0.05663
0.3105;0.05678
0.31287;0.05693
0.31457;0.05708
0.31336;0.05723
0.31584;0.05738
0.31491;0.05753
0.3176;0.05769
0.31822;0.05783
0.31821;0.05798
0.32062;0.05814
0.32061;0.05829
0.32089;0.05844
0.32313;0.0586
0.32185;0.05874
0.32455;0.0589
0.32429;0.05905
0.32392;0.0592
0.32745;0.05936
0.32702;0.0595
0.32856;0.05966
0.32877;0.05981
0.32888;0.05997
0.33068;0.06012
0.32988;0.06027
0.33198;0.06042
0.3328;0.06058
0.33299;0.06073
0.33463;0.06088
0.33358;0.06103
0.33625;0.06119
0.33622;0.06134
0.33663;0.06149
0.33879;0.06164
0.3372;0.06178
0.33968;0.06194
0.34078;0.06209
0.34021;0.06224
0.34291;0.06239
0.3421;0.06254
0.34369;0.0627
0.34549;0.06285
0.34492;0.063
0.34646;0.06315
0.34649;0.0633
0.34762;0.06346
0.34885;0.06361
0.34826;0.06375
0.35224;0.0639
0.35101;0.06405
0.35155;0.06421
0.35352;0.06437
0.35233;0.06452
0.3548;0.06467
0.35487;0.06482
0.35457;0.06497
0.35634;0.06512
0.35606;0.06527
0.35787;0.06543
0.35856;0.06558
0.35793;0.06573
0.36129;0.06588
0.36105;0.06603
0.36205;0.06618
0.3632;0.06633
0.36154;0.06648
0.36708;0.06663
0.36422;0.06679
0.36687;0.06694
0.36713;0.06709
0.36563;0.06724
0.36896;0.06739
0.36955;0.06755
0.36923;0.06769
0.37169;0.06785
0.3695;0.06799
0.37269;0.06815
0.37206;0.0683
0.3745;0.06845
0.37638;0.0686
0.37458;0.06875
0.37667;0.06891
0.37704;0.06906
0.37728;0.06921
0.37946;0.06936
