g_i Prony;k_i Prony;tau_i Prony
0.02030807;0;2.71E-20
0.017670464;0;1.56E-19
0.016977607;0;8.78E-19
0.021926015;0;4.85E-18
0.025060077;0;2.49E-17
0.029272876;0;1.28E-16
0.03299917;0;6.36E-16
0.035041375;0;3.25E-15
0.035481133;0;1.70E-14
0.039088066;0;9.30E-14
0.041441191;0;5.03E-13
0.045565068;0;2.71E-12
0.04737493;0;1.47E-11
0.048011503;0;7.73E-11
0.049610582;0;4.04E-10
0.051769947;0;2.04E-09
0.056457641;0;9.62E-09
0.060749816;0;4.28E-08
0.062798595;0;1.80E-07
0.058601561;0;7.39E-07
0.052519253;0;2.95E-06
0.042445793;0;1.22E-05
0.030899956;0;5.11E-05
0.022019614;0;2.35E-04
0.017001029;0;1.12E-03
0.009865872;0;5.68E-03
0.008042392;0;3.91E-02
0.007010732;0;2.35E-01
0.00422357;0;1.69E+00
0.00345756;0;1.56E+01
0.003228173;0;1.82E+02
