Tensile stress;Tensile strain (Extension)
(MPa);(mm/mm)
0.00125;0.00001
0.00118;0.00008
0.00085;0.00018
0.00337;0.0003
0.00133;0.00041
0.00266;0.00053
0.00289;0.00067
0.00375;0.00081
0.00475;0.00096
0.00499;0.00111
0.00535;0.00126
0.00677;0.00141
0.00533;0.00156
0.00629;0.00171
0.00747;0.00187
0.00625;0.00202
0.00932;0.00218
0.01021;0.00233
0.00823;0.00249
0.01101;0.00265
0.00924;0.0028
0.00932;0.00296
0.01263;0.00313
0.01151;0.00329
0.01243;0.00345
0.0135;0.00361
0.01181;0.00377
0.01371;0.00393
0.01521;0.00409
0.01308;0.00426
0.01563;0.00442
0.01458;0.00458
0.01511;0.00474
0.01774;0.00491
0.01679;0.00506
0.01923;0.00522
0.01815;0.00539
0.01819;0.00555
0.02032;0.00571
0.01796;0.00587
0.01958;0.00603
0.02103;0.00619
0.01925;0.00635
0.02176;0.00651
0.02306;0.00667
0.02172;0.00683
0.02392;0.00699
0.02312;0.00715
0.02281;0.00731
0.02436;0.00747
0.0245;0.00762
0.02566;0.00777
0.02665;0.00794
0.02542;0.00809
0.02681;0.00825
0.02814;0.00841
0.02728;0.00856
0.02847;0.00872
0.02823;0.00889
0.02817;0.00903
0.02849;0.0092
0.02823;0.00936
0.03117;0.00952
0.02986;0.00967
0.03007;0.00983
0.03277;0.01
0.03064;0.01015
0.03221;0.01031
0.03334;0.01045
0.03252;0.01061
0.03398;0.01076
0.03417;0.0109
0.03206;0.01106
0.03569;0.0112
0.03509;0.01135
0.035;0.0115
0.0365;0.01165
0.03644;0.0118
0.03651;0.01194
0.03802;0.01208
0.03805;0.01223
0.0376;0.01237
0.03937;0.01252
0.03906;0.01266
0.0413;0.01282
0.03963;0.01297
0.04022;0.01312
0.0415;0.01327
0.04106;0.01342
0.04198;0.01357
0.04192;0.01373
0.04052;0.01387
0.04311;0.01402
0.04255;0.01417
0.04316;0.01431
0.0451;0.01446
0.04303;0.0146
0.04532;0.01475
0.04631;0.0149
0.04328;0.01505
0.04635;0.01519
0.04622;0.01534
0.04522;0.01548
0.04801;0.01564
0.04699;0.01579
0.04714;0.01594
0.04933;0.01609
0.04886;0.01624
0.05089;0.01639
0.05016;0.01654
0.0493;0.01669
0.05149;0.01683
0.05047;0.01699
0.05125;0.01713
0.05191;0.01728
0.05208;0.01743
0.05338;0.01758
0.05305;0.01773
0.05251;0.01788
0.0546;0.01803
0.05227;0.01818
0.05439;0.01832
0.0566;0.01849
0.05478;0.01863
0.05567;0.01879
0.05651;0.01893
0.05574;0.01908
0.05784;0.01923
0.05747;0.01938
0.05752;0.01953
0.06002;0.01968
0.05743;0.01984
0.05905;0.02
0.06033;0.02015
0.05832;0.02031
0.06036;0.02046
0.06097;0.02061
0.06104;0.02076
0.06253;0.02092
0.06133;0.02107
0.06232;0.02122
0.06246;0.02137
0.06271;0.02152
0.06374;0.02167
0.06451;0.02183
0.06403;0.02198
0.06601;0.02212
0.06516;0.02228
0.06494;0.02243
0.0679;0.02258
0.066;0.02274
0.06837;0.02289
0.06911;0.02304
0.06684;0.02319
0.06947;0.02334
0.06879;0.0235
0.06861;0.02365
0.07072;0.02381
0.07086;0.02396
0.07093;0.02411
0.07117;0.02426
0.07083;0.02441
0.07224;0.02456
0.07215;0.02472
0.07158;0.02488
0.0731;0.02502
0.07232;0.02518
0.07449;0.02533
0.07636;0.02548
0.07314;0.02563
0.07561;0.02578
0.07435;0.02593
0.07512;0.02608
0.07668;0.02623
0.0758;0.02638
0.07699;0.02653
0.07852;0.02667
0.07758;0.02683
0.07868;0.02697
0.07948;0.02712
0.07853;0.02727
0.08047;0.02741
0.08058;0.02757
0.07896;0.02771
0.08132;0.02786
0.08064;0.02801
0.08143;0.02815
0.08255;0.0283
0.0819;0.02844
0.08298;0.0286
0.08327;0.02875
0.08365;0.0289
0.08494;0.02905
0.08424;0.02921
0.08516;0.02936
0.08589;0.02952
0.08362;0.02967
0.087;0.02983
0.08694;0.02998
0.08626;0.03014
0.08787;0.03029
0.08689;0.03045
0.08786;0.0306
0.08982;0.03075
0.08749;0.0309
0.08941;0.03105
0.09071;0.0312
0.08884;0.03135
0.09071;0.0315
0.09147;0.03165
0.09028;0.0318
0.09266;0.03195
0.09097;0.03211
0.09179;0.03226
0.09406;0.0324
0.09352;0.03256
0.09518;0.03271
0.09404;0.03286
0.09429;0.03301
0.09503;0.03316
0.09465;0.03331
0.09633;0.03347
0.09696;0.03362
0.09569;0.03377
0.09708;0.03392
0.09748;0.03407
0.09719;0.03423
0.09953;0.03438
0.09778;0.03454
0.0986;0.0347
0.10084;0.03484
0.09917;0.035
0.10059;0.03515
0.10162;0.0353
0.09946;0.03546
0.10231;0.03562
0.10223;0.03577
0.10113;0.03592
0.10276;0.03607
0.10375;0.03623
0.10349;0.03639
0.10544;0.03654
0.10402;0.0367
0.10415;0.03685
0.1057;0.03701
0.1043;0.03716
0.10637;0.03731
0.1067;0.03746
0.10703;0.03762
0.10834;0.03777
0.10688;0.03792
0.1082;0.03807
0.10922;0.03822
0.10743;0.03837
0.10979;0.03852
0.10912;0.03867
0.10913;0.03882
0.11142;0.03897
0.11138;0.03913
0.11012;0.03927
0.11348;0.03942
0.11061;0.03957
0.11198;0.03973
0.11298;0.03988
0.1125;0.04004
0.11292;0.04018
0.11397;0.04034
0.11333;0.04048
0.11618;0.04062
0.11559;0.04075
0.11454;0.04089
0.11691;0.04102
0.11478;0.04115
0.11658;0.04129
0.11694;0.04143
0.11618;0.04157
0.11842;0.0417
0.11715;0.04184
0.11673;0.04199
0.11919;0.04213
0.11842;0.04228
0.12042;0.04243
0.1206;0.04258
0.12065;0.04274
0.12189;0.04289
0.12164;0.04305
0.12026;0.0432
0.1233;0.04336
0.12226;0.04352
0.12129;0.04369
0.12468;0.04385
0.12223;0.04401
0.12467;0.04417
0.12573;0.04433
0.12381;0.0445
0.12637;0.04466
0.12654;0.04482
0.12642;0.04498
0.1271;0.04515
0.12666;0.04531
0.12734;0.04547
0.12909;0.04564
0.12812;0.0458
0.12857;0.04595
0.13052;0.04613
0.12818;0.04629
0.13186;0.04644
0.13036;0.04661
0.13058;0.04676
0.13256;0.04692
0.13089;0.04708
0.13248;0.04724
0.13337;0.04741
0.132;0.04756
0.13387;0.04772
0.13503;0.04788
0.13429;0.04803
0.13524;0.04819
0.13583;0.04835
0.13508;0.04849
0.13798;0.04866
0.13624;0.04881
0.13793;0.04895
0.13862;0.04911
0.13703;0.04926
0.1392;0.04941
0.13759;0.04956
0.13792;0.04971
0.1401;0.04986
0.13911;0.05001
0.13987;0.05014
0.14113;0.05029
0.13947;0.05044
0.14203;0.05059
0.14268;0.05074
0.14209;0.05088
0.14364;0.05102
0.14095;0.05117
0.14257;0.05131
0.14511;0.05146
0.14157;0.0516
0.14438;0.05173
0.14445;0.05188
0.14411;0.05202
0.14639;0.05216
0.14559;0.05231
0.14477;0.05245
0.14822;0.0526
0.14613;0.05274
0.14622;0.05288
0.14883;0.05303
0.14689;0.05319
0.1484;0.05332
0.14969;0.05348
0.1481;0.05362
0.15035;0.05377
0.14968;0.05392
0.14961;0.05406
0.1521;0.0542
0.15183;0.05436
0.15155;0.0545
0.15249;0.05466
0.15108;0.05481
0.15304;0.05495
0.15386;0.05511
0.15377;0.05525
0.15461;0.05541
0.15295;0.05556
0.15508;0.05571
0.1569;0.05587
0.15451;0.05602
0.15687;0.05617
0.15712;0.05633
0.15542;0.05648
0.15912;0.05663
0.1567;0.05679
0.15755;0.05694
0.15954;0.05708
0.15891;0.05724
0.16036;0.05739
0.16126;0.05755
0.15923;0.05769
0.161;0.05785
0.16049;0.058
0.15988;0.05815
0.16151;0.0583
0.16154;0.05846
0.16218;0.05861
0.16418;0.05876
0.16265;0.05891
0.16378;0.05906
0.16497;0.0592
0.16449;0.05936
0.16574;0.05951
0.16506;0.05966
0.16552;0.05981
0.1671;0.05996
0.16565;0.06011
0.16728;0.06026
0.16808;0.06042
0.16653;0.06057
0.16909;0.06072
0.16915;0.06088
0.16731;0.06103
0.17042;0.06119
0.16919;0.06134
0.16979;0.0615
0.17145;0.06165
0.16984;0.0618
0.17136;0.06196
0.17232;0.06211
0.17092;0.06227
0.17305;0.06242
0.1731;0.06257
0.17282;0.06272
0.1741;0.06288
0.17375;0.06303
0.17365;0.06319
0.17532;0.06333
0.1746;0.06349
0.17654;0.06364
0.17553;0.06379
0.1758;0.06394
0.1778;0.0641
0.17662;0.06425
0.17879;0.0644
0.17958;0.06455
0.17794;0.0647
0.17885;0.06484
0.18005;0.065
0.17925;0.06515
0.18041;0.0653
0.18162;0.06545
0.18003;0.0656
0.1818;0.06575
0.18097;0.0659
0.18096;0.06605
0.1841;0.0662
0.1813;0.06635
0.18327;0.06649
0.184;0.06664
0.18302;0.06678
0.18481;0.06693
0.18468;0.06708
0.18499;0.06722
0.18709;0.06736
0.18492;0.06751
0.18589;0.06765
0.1885;0.0678
0.18704;0.06794
0.18781;0.06809
0.18816;0.06824
0.18737;0.06838
0.1895;0.06853
0.18728;0.06868
0.18926;0.06882
0.19101;0.06897
0.18863;0.06912
0.19113;0.06927
0.19221;0.06942
0.19082;0.06957
0.19206;0.06973
0.19185;0.06988
0.19158;0.07003
0.19289;0.07019
0.19204;0.07035
0.19334;0.0705
0.19472;0.07066
0.1937;0.0708
0.19664;0.07096
0.19512;0.07112
0.19483;0.07128
0.19742;0.07143
0.19587;0.07159
0.19727;0.07175
0.19942;0.07191
0.19637;0.07206
0.19821;0.07222
0.19962;0.07238
0.19812;0.07253
0.20077;0.07269
0.19972;0.07285
0.19922;0.073
0.2001;0.07316
0.20066;0.07332
0.2019;0.07348
0.20331;0.07364
0.20217;0.07379
0.20298;0.07394
0.20311;0.07411
0.20214;0.07426
0.20541;0.07441
0.20475;0.07458
0.20372;0.07473
0.2066;0.07489
0.20474;0.07505
0.20534;0.0752
0.20721;0.07536
0.20681;0.07551
0.20777;0.07567
0.20816;0.07583
0.20645;0.07599
0.21009;0.07615
0.20857;0.0763
0.20959;0.07645
0.21234;0.0766
0.20965;0.07676
0.21063;0.07692
0.21243;0.07707
0.20985;0.07722
0.21284;0.07737
0.21291;0.07753
0.21238;0.07768
0.21336;0.07783
0.21232;0.07798
0.2135;0.07813
0.21488;0.07829
0.2143;0.07844
0.21628;0.07859
0.21438;0.07874
0.21405;0.07889
0.21805;0.07904
0.21625;0.0792
0.217;0.07934
0.21851;0.07949
0.216;0.07965
0.21884;0.07979
0.21842;0.07994
0.21783;0.08009
0.21975;0.08024
0.22003;0.08039
0.2194;0.08053
0.22156;0.08069
0.22009;0.08084
0.22146;0.08099
0.22046;0.08114
0.22156;0.08128
0.2225;0.08143
0.22177;0.08158
0.22192;0.08172
0.22425;0.08187
0.22363;0.08202
