g_i Prony;k_i Prony;tau_i Prony
0.070897411;0;2.54E-13
5.33E-05;0;4.07E-13
0.064868201;0;1.08E-12
0.052248488;0;3.96E-12
0.051208216;0;1.18E-11
0.051207295;0;3.51E-11
0.0560822;0;1.06E-10
0.057626076;0;3.38E-10
0.055496102;0;1.01E-09
0.050248743;0;2.77E-09
0.049921682;0;6.56E-09
0.062465584;0;1.91E-08
0.048866232;0;5.85E-08
0.044402923;0;1.52E-07
0.047414471;0;4.64E-07
0.039156391;0;1.47E-06
0.034292315;0;4.33E-06
0.029040405;0;1.23E-05
0.027264611;0;3.43E-05
0.021575715;0;9.66E-05
0.015959019;0;0.000221039
0.018693639;0;0.000589809
0.013735112;0;0.001803642
0.011107135;0;0.005111348
0.008763462;0;0.01835109
0.004566355;0;0.066953675
0.003931787;0;0.192062401
0.003656663;0;1.07368854
0.001228861;0;5.234604469
0.00167469;0;19.90498842
0.001242147;0;110.2799552
