g_i Prony;k_i Prony;tau_i Prony
0.031007474;0.00E+00;1.60E-21
0.022624504;0.00E+00;1.45E-20
0.021786476;0;1.52E-19
0.027055805;0.00E+00;1.48E-18
0.032828169;0.00E+00;1.15E-17
0.035231613;0;9.11E-17
0.039725676;0;6.81E-16
0.045376597;0;4.70E-15
0.045897426;0;3.15E-14
0.04885603;0;2.08E-13
0.054120581;0;1.32E-12
0.05317621;0;7.97E-12
0.052591466;0;4.98E-11
0.055653942;0;3.09E-10
0.054355488;0.00E+00;1.80E-09
0.051013015;0;1.10E-08
0.050856016;0;6.82E-08
0.047690926;0;4.10E-07
0.04321935;0;2.61E-06
0.042299598;0;1.68E-05
0.040343349;0;0.000107493
0.036142014;0;0.000708576
0.028379358;0;0.004996458
0.019702154;0;0.040221865
0.01012559;0;0.436668744
0.004460954;0;16.38697039
0.000645003;0;13130.9184
0.000936174;0;105093.7543
0.000789476;0;745238.584
5.99E-07;0;2.51399E+11
2.30E-06;0;1.31707E+12
