g_i Prony;k_i Prony;tau_i Prony
0.018079093;0;1.82E-19
0.014795476;0;7.79E-19
0.013708901;0;2.95E-18
0.010487993;0;8.85E-18
0.015729364;0;2.67E-17
0.02264279;0;1.26E-16
0.027000044;0;7.28E-16
0.0314212;0;4.33E-15
0.03964185;0;2.93E-14
0.048590691;0;2.39E-13
0.054068615;0;2.09E-12
0.059441855;0;1.84E-11
0.06395248;0;1.60E-10
0.065899121;0;1.33E-09
0.066611;0;9.74E-09
0.066245117;0;6.05E-08
0.065364362;0;3.16E-07
0.060118764;0;1.41E-06
0.053581022;0;5.48E-06
0.050090114;0;2.15E-05
0.037967335;0;7.99E-05
0.031667001;0;0.000256148
0.023613139;0;0.000783639
0.020810518;0;0.002280149
0.013532796;0;0.00702587
0.008399844;0;0.018522296
0.006045505;0;0.044475017
0.00479573;0;0.133897488
7.45E-07;0;0.158038728
0.001765194;0;0.368450335
0.000463631;0;104.9362268
